순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,박해민,LG,중견수,48,43,372,0,0,118,3,2,1.0,0,0,0,-
1,박성한,SSG,유격수,48,45,388,6,0,70,102,25,0.966,0,0,0,-
1,최지훈,SSG,중견수,48,47,414 1/3,2,0,130,2,0,0.985,0,0,0,-
1,박찬호,두산,유격수,48,47,405,5,0,77,120,31,0.975,0,0,0,-
1,정수빈,두산,중견수,48,47,404,1,0,99,2,0,0.99,0,0,0,-
6,디아즈,삼성,1루수,47,47,404,2,0,373,38,38,0.995,0,0,0,-
6,김주원,NC,유격수,47,45,382 2/3,7,0,66,125,28,0.965,0,0,0,-
6,김호령,KIA,중견수,47,47,416,1,0,110,5,2,0.991,0,0,0,-
6,김건희,키움,포수,47,38,349,4,0,295,26,5,0.988,0,26,7,21.2
10,신민재,LG,2루수,46,39,364 2/3,2,0,77,125,28,0.99,0,0,0,-
10,페라자,한화,우익수,46,46,373 1/3,2,0,76,4,1,0.976,0,0,0,-
10,에레디아,SSG,좌익수,46,45,383 1/3,1,0,91,1,1,0.989,0,0,0,-
13,문현빈,한화,좌익수,45,45,387 1/3,0,0,89,1,0,1.0,0,0,0,-
13,정준재,SSG,2루수,45,38,341 1/3,1,0,82,113,26,0.995,0,0,0,-
13,김도영,KIA,3루수,45,44,376 2/3,2,0,32,77,9,0.982,0,0,0,-
16,김상수,KT,2루수,44,42,363 1/3,3,0,83,148,30,0.987,0,0,0,-
16,이강민,KT,유격수,44,41,338,7,0,83,98,29,0.963,0,0,0,-
16,손성빈,롯데,포수,44,30,269 1/3,3,1,257,28,5,0.99,0,15,3,16.7
16,전민재,롯데,유격수,44,44,363,7,0,80,105,25,0.964,0,0,0,-
16,카메론,두산,우익수,44,44,366,2,0,67,0,0,0.971,0,0,0,-
21,박동원,LG,포수,43,38,325 2/3,2,2,264,26,0,0.993,1,31,12,27.9
21,오지환,LG,유격수,43,38,321 2/3,8,0,61,92,24,0.95,0,0,0,-
21,류지혁,삼성,2루수,43,41,336 1/3,5,0,76,113,27,0.974,0,0,0,-
21,박민우,NC,2루수,43,43,334 2/3,2,0,93,100,21,0.99,0,0,0,-
25,김형준,NC,포수,42,34,281 2/3,1,1,239,20,0,0.996,2,18,6,25.0
26,홍창기,LG,우익수,41,38,331,0,0,79,2,1,1.0,0,0,0,-
27,노시환,한화,3루수,40,40,357 1/3,5,0,25,66,9,0.948,0,0,0,-
27,최정,SSG,3루수,40,40,336,2,0,17,65,11,0.976,0,0,0,-
27,김지찬,삼성,중견수,40,35,297 2/3,1,0,80,1,0,0.988,0,0,0,-
27,김민석,두산,좌익수,40,35,293,2,0,62,1,1,0.969,0,0,0,-
