순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
1,구자욱,삼성,0.369,112,492,415,87,153,29,6,15,239,102,1,5
2,레이예스,롯데,0.357,132,581,530,75,189,35,2,16,276,101,0,3
3,최원준,KT,0.343,129,616,530,111,182,34,4,9,251,70,3,4
4,오스틴,LG,0.342,133,591,500,107,171,33,4,39,329,122,0,4
5,박성한,SSG,0.329,134,582,493,90,162,28,2,4,206,65,0,3
6,김지찬,삼성,0.32,123,493,415,94,133,10,5,0,153,37,11,3
7,박민우,NC,0.319,128,522,448,78,143,26,3,7,196,69,1,4
8,최형우,삼성,0.312,126,540,461,59,144,24,0,17,219,101,0,8
9,김도영,KIA,0.31,123,538,451,106,140,26,1,40,288,102,0,4
10,김민석,두산,0.31,125,477,420,55,130,21,3,5,172,50,2,1
11,서건창,키움,0.308,99,450,386,60,119,13,5,3,151,32,7,1
12,문현빈,한화,0.304,123,554,483,82,147,29,4,15,229,74,2,4
13,힐리어드,KT,0.303,131,584,515,105,156,21,3,39,300,123,0,8
14,한동희,롯데,0.302,97,410,367,51,111,17,1,22,196,70,0,4
15,김성윤,삼성,0.302,114,449,384,72,116,19,2,3,148,44,12,3
16,박건우,NC,0.302,126,497,431,56,130,19,1,20,211,78,1,10
17,디아즈,삼성,0.3,133,590,510,83,153,31,0,25,259,120,0,9
18,나성범,KIA,0.298,128,528,460,71,137,26,0,29,250,90,0,7
19,박재현,KIA,0.293,120,504,467,74,137,22,6,17,222,66,8,1
20,이우성,NC,0.292,116,420,390,37,114,19,0,6,151,48,1,2
21,황성빈,롯데,0.291,111,463,422,70,123,12,11,0,157,35,5,2
22,박해민,LG,0.291,133,541,453,74,132,19,2,4,167,55,18,9
23,허인서,한화,0.291,120,424,378,58,110,17,0,20,187,73,3,3
24,페라자,한화,0.289,128,546,446,87,129,29,2,20,222,67,2,5
25,김주원,NC,0.288,121,547,479,83,138,21,0,18,213,59,1,3
26,고승민,롯데,0.287,100,442,401,66,115,23,3,16,192,68,2,4
27,강백호,한화,0.287,121,529,471,72,135,22,0,33,256,111,0,5
28,데이비슨,키움,0.286,116,486,430,54,123,21,2,22,214,78,0,4
29,류지혁,삼성,0.285,129,506,432,61,123,18,6,5,168,60,7,3
30,에레디아,SSG,0.284,105,457,416,52,118,23,1,17,194,90,0,5
