순위,선수명,팀명,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,구자욱,삼성,0.355,48,2,4,58,3,0.561,0.435,0.996,36,0.396,0.5
2,레이예스,롯데,0.355,41,7,2,52,8,0.519,0.41,0.929,44,0.405,0.0
3,최원준,KT,0.347,54,0,6,67,3,0.48,0.424,0.904,40,0.343,1.0
4,박성한,SSG,0.338,73,2,1,65,2,0.437,0.435,0.872,40,0.434,0.5
5,오스틴,LG,0.333,60,6,9,74,8,0.631,0.423,1.054,35,0.38,0.0
6,최형우,삼성,0.325,63,4,4,68,15,0.499,0.42,0.919,32,0.359,0.333
7,박민우,NC,0.325,50,2,7,57,9,0.434,0.415,0.849,32,0.396,0.25
8,김지찬,삼성,0.325,57,1,5,33,2,0.359,0.422,0.781,34,0.397,0.333
9,서건창,키움,0.324,39,3,9,35,7,0.397,0.413,0.81,27,0.397,0.5
10,김민석,두산,0.31,42,0,2,68,1,0.409,0.388,0.797,28,0.372,0.333
11,이우성,NC,0.305,21,0,3,55,10,0.406,0.349,0.755,32,0.287,0.2
12,김성윤,삼성,0.305,38,0,2,34,8,0.4,0.381,0.781,30,0.333,0.538
13,김도영,KIA,0.301,65,7,6,84,8,0.636,0.4,1.036,31,0.361,0.0
14,힐리어드,KT,0.301,49,1,2,134,3,0.569,0.372,0.941,38,0.32,0.0
15,디아즈,삼성,0.299,57,4,2,84,10,0.493,0.379,0.872,36,0.356,0.0
16,강백호,한화,0.298,42,3,2,86,7,0.56,0.368,0.928,32,0.365,0.0
17,문현빈,한화,0.296,50,0,5,63,18,0.462,0.375,0.837,35,0.227,0.0
18,김주원,NC,0.295,41,2,15,62,4,0.449,0.377,0.826,36,0.307,0.0
19,허인서,한화,0.294,27,2,8,101,3,0.502,0.366,0.868,18,0.347,0.0
20,나성범,KIA,0.292,45,0,5,119,10,0.535,0.369,0.904,32,0.364,0.0
21,박재현,KIA,0.292,23,0,0,87,4,0.467,0.329,0.796,37,0.366,0.0
22,박건우,NC,0.291,44,5,2,68,7,0.471,0.365,0.836,27,0.281,0.0
23,황성빈,롯데,0.289,21,0,4,53,2,0.374,0.336,0.71,32,0.317,0.333
24,페라자,한화,0.287,76,4,3,92,7,0.509,0.403,0.912,29,0.276,0.0
25,박찬호,두산,0.287,43,1,2,66,11,0.386,0.353,0.739,32,0.275,0.5
26,류지혁,삼성,0.286,45,1,6,60,9,0.4,0.372,0.772,30,0.347,0.333
27,박해민,LG,0.285,44,0,11,53,5,0.363,0.371,0.734,25,0.293,0.0
28,에레디아,SSG,0.284,23,2,7,60,9,0.468,0.338,0.806,27,0.333,0.0
29,고승민,롯데,0.281,29,1,1,65,0,0.457,0.339,0.796,29,0.36,0.0
30,김상수,KT,0.28,42,0,8,50,9,0.33,0.377,0.707,23,0.293,0.4
