순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,곽빈,두산,2.26,26,11,7,0,0,0.611,155,125,10,39,5,186,44,39,1.06
2,최민석,두산,2.69,24,13,4,0,0,0.765,133 2/3,117,7,53,7,117,52,40,1.27
3,올러,KIA,2.99,24,11,9,0,0,0.55,141 1/3,102,11,47,6,154,51,47,1.05
4,네일,KIA,3.66,26,10,6,0,0,0.625,152 2/3,150,12,30,15,126,63,62,1.18
5,왕옌청,한화,3.75,25,11,5,0,0,0.688,129 2/3,139,13,54,6,97,68,54,1.49
6,알칸타라,키움,3.78,23,9,8,0,0,0.529,143,139,18,17,6,127,61,60,1.09
7,류현진,한화,3.8,23,9,5,0,0,0.643,125 2/3,131,8,17,6,104,63,53,1.18
8,고영표,KT,3.8,24,11,6,0,0,0.647,139 2/3,142,14,20,9,149,60,59,1.16
9,잭로그,두산,3.86,25,7,7,0,0,0.5,137 2/3,146,16,27,12,124,69,59,1.26
10,김진욱,롯데,3.9,23,6,7,0,0,0.462,129 1/3,125,17,45,7,112,67,56,1.31
11,나균안,롯데,4.03,21,6,9,0,0,0.4,120 2/3,134,17,38,2,104,59,54,1.43
12,구창모,NC,4.08,24,9,6,0,0,0.6,134 2/3,132,17,40,5,112,68,61,1.28
13,임찬규,LG,4.14,25,13,5,0,0,0.722,139,152,8,40,9,79,66,64,1.38
14,원태인,삼성,4.2,22,7,7,0,0,0.5,126 1/3,143,6,26,8,104,61,59,1.34
15,톨허스트,LG,4.22,24,11,9,0,0,0.55,134 1/3,134,12,32,9,109,64,63,1.24
16,로드리게스,롯데,4.35,25,7,11,0,0,0.389,138 2/3,140,21,51,8,156,72,67,1.38
17,비슬리,롯데,4.68,23,9,5,0,0,0.643,127,140,10,36,12,134,70,66,1.39
18,테일러,NC,4.78,23,7,6,0,0,0.538,124 1/3,115,10,50,14,95,71,66,1.33
19,토다,NC,4.99,24,7,9,0,0,0.438,124 1/3,150,19,42,2,94,78,69,1.54
20,박세웅,롯데,5.01,22,3,9,0,0,0.25,120 1/3,140,9,42,10,106,75,67,1.51
